Date,Gold_Open_INR,Gold_High_INR,Gold_Low_INR,Gold_Close_INR,Gold_Volume,NIFTY_50,India_VIX,INR_Index,USD_INR_Rate,Indian_Bond_10Y,Crude_Oil_Brent,Gold_MA_5_INR,Gold_MA_20_INR,Gold_MA_50_INR,Gold_Volatility,Price_Change_Pct,Volume_MA,High_Low_Spread_INR,Open_Close_Change_INR,Target_Gold_Price_INR,Price_Direction
2020-12-02,4307.3801230719155,4310.732979510039,4277.791424505212,4333.66591278137,1713.8743378428253,13838.246123833469,18.88410436069699,99.85652324249614,74.56634118067365,6.041540318388297,86.30090034000568,4336.2920743448085,4336.2920743448085,4336.2920743448085,3.7139532999979408,-0.12105144280918356,1361.0968435587083,32.94155500482702,26.285789709454548,4402.711742026574,Up
2020-12-03,4397.150413885628,4419.4100997776395,4385.206061050747,4402.711742026574,1165.2981408359744,14068.935681780053,15.266599577063673,101.02637521331904,74.7195451979208,5.998589478326437,71.63293278730922,4358.431963572064,4358.431963572064,4358.431963572064,38.43723207441793,1.593243010301415,1295.830609317797,34.20403872689258,5.561328140945989,4497.42400231675,Up
2020-12-04,4475.536321041683,4497.315220526403,4473.346161895047,4497.42400231675,1284.2701327521731,14247.344232465264,16.641724448369732,99.4223263063558,74.53435260088628,5.8079727008594,84.99832671622107,4393.179973258236,4393.179973258236,4393.179973258236,76.25381246182295,2.1512255591500606,1292.940490176391,23.969058631356347,21.887681275067735,4299.730885026486,Down
2020-12-07,4295.18072746377,4309.393688578352,4288.758547498878,4299.730885026486,1405.5749728039432,14059.577389264561,26.367260451492683,103.48295314483727,74.23538351334197,5.995286087063346,61.098216339666195,4374.490155611886,4374.490155611886,4374.490155611886,78.1506836469855,-4.395696674105598,1315.4673867019014,20.635141079474124,4.550157562715867,4301.684335560116,Up
2020-12-08,4306.723425460697,4325.519298614357,4285.22781939143,4301.684335560116,1652.7374379430717,14066.2783778994,24.70230525895174,102.098372785579,74.34233434901168,5.758800923317295,91.6587342574777,4367.043375542259,4362.355852269924,4362.355852269924,75.95703646905541,0.04543192552892705,1371.6790619087633,40.29147922292668,-5.03908990058153,4458.061241693177,Up
2020-12-09,4455.27791306821,4456.631556289815,4422.403339242385,4458.061241693177,1991.051696631535,13779.253366578716,11.502093815362013,102.18206087751409,73.84250451795678,6.2846998927846,60.53897840900772,4391.922441324621,4376.0280507589605,4376.0280507589605,78.207390347501,3.6352482872897607,1460.160866869159,34.22821704743001,2.783328624966998,4422.506245956228,Down
2020-12-10,4408.261137160406,4425.901301938372,4390.53763847387,4422.506245956228,1995.3021276003094,13804.898014964609,22.148662089395874,97.58460819157396,74.25986618824362,5.7363955890763805,70.60736950375687,4395.8813421105515,4381.837825158618,4381.837825158618,74.2472416322598,-0.7975439055082467,1527.053524460553,35.36366346450177,14.24510879582158,4297.476608907897,Down
2020-12-11,4282.840108137327,4299.861637360328,4279.5381703250105,4297.476608907897,919.1274386163429,13519.02461354868,22.05698277245796,99.80152893898574,74.04186845957994,5.96951684071871,67.15742480402656,4355.891863428781,4372.464356686316,4372.464356686316,74.92882275573612,-2.827121774280217,1459.506181588974,20.323467035317663,14.63650077056991,4407.507257230234,Up
2020-12-14,4412.109956174579,4418.56210078931,4385.999447078873,4407.507257230234,1304.4897360873183,14789.905759826903,12.258683556236909,99.24883512819824,74.50829791434478,5.801303814167031,58.58383668175423,4377.447137869531,4375.968646740708,4375.968646740708,71.5074450103406,2.5603547927233405,1444.0045370388084,32.56265371043628,-4.602698944344411,4355.724332864108,Down
2020-12-15,4353.698863298514,4361.326893062921,4347.712805209868,4355.724332864108,952.9341208273125,13602.538108679182,22.093888218774303,97.48599656077633,75.07182571677333,6.124926603312693,81.26463296094664,4388.255137330329,4374.128254570108,4374.128254570108,68.11197177790304,-1.1748800703885287,1399.3617719286724,13.614087853053206,2.025469565593994,4311.256135530155,Down
2020-12-16,4322.690270567524,4329.0296998254125,4316.360738246022,4311.256135530155,1050.2938391555654,13832.929664000903,25.689659592062764,100.90041045986442,74.44994649079214,5.945640331248287,102.29216831528223,4358.894116097725,4368.888911316779,4368.888911316779,67.43070634133042,-1.0209139499127273,1370.2727775309133,12.66896157939027,-11.434135037368833,4358.181458435055,Up
